Date,Open,High,Low,Adj Close,Volume,Open.1,High.1,Low.1,Adj Close.1,Volume.1,Original Price
2017-06-05,20135.419922,20224.539063,20104.130859,20170.820313,99100000.0,20135.419922,20224.539063,19896.349609,20013.259766,570900000.0,20013.259766
2017-06-06,20122.259766,20152.949219,19948.019531,19979.900391,102000000.0,20135.419922,20224.539063,19896.349609,20013.259766,570900000.0,20013.259766
2017-06-07,19951.679688,20023.240234,19908.070313,19984.619141,99200000.0,20135.419922,20224.539063,19896.349609,20013.259766,570900000.0,20013.259766
2017-06-08,20048.279297,20061.220703,19896.349609,19909.259766,125300000.0,20135.419922,20224.539063,19896.349609,20013.259766,570900000.0,20013.259766
2017-06-09,19953.060547,20096.009766,19927.070313,20013.259766,145300000.0,20135.419922,20224.539063,19896.349609,20013.259766,570900000.0,20013.259766
2017-06-12,19920.769531,19949.070313,19837.640625,19908.580078,112100000.0,19920.769531,20015.160156,19755.339844,19943.259766,544500000.0,19943.259766
2017-06-13,19859.810547,19929.029297,19850.859375,19898.75,97200000.0,19920.769531,20015.160156,19755.339844,19943.259766,544500000.0,19943.259766
2017-06-14,19974.560547,20009.929688,19879.599609,19883.519531,92900000.0,19920.769531,20015.160156,19755.339844,19943.259766,544500000.0,19943.259766
2017-06-15,19815.539063,19963.359375,19755.339844,19831.820313,107000000.0,19920.769531,20015.160156,19755.339844,19943.259766,544500000.0,19943.259766
2017-06-16,19931.150391,20015.160156,19884.800781,19943.259766,135300000.0,19920.769531,20015.160156,19755.339844,19943.259766,544500000.0,19943.259766
2017-06-19,19974.300781,20087.710938,19949.880859,20067.75,79700000.0,19974.300781,20318.109375,19949.880859,20132.669922,439000000.0,20132.669922
2017-06-20,20234.119141,20318.109375,20227.289063,20230.410156,99300000.0,19974.300781,20318.109375,19949.880859,20132.669922,439000000.0,20132.669922
2017-06-21,20192.160156,20215.109375,20117.789063,20138.789063,94900000.0,19974.300781,20318.109375,19949.880859,20132.669922,439000000.0,20132.669922
2017-06-22,20154.380859,20191.419922,20107.890625,20110.509766,84600000.0,19974.300781,20318.109375,19949.880859,20132.669922,439000000.0,20132.669922
2017-06-23,20152.580078,20152.580078,20089.539063,20132.669922,80500000.0,19974.300781,20318.109375,19949.880859,20132.669922,439000000.0,20132.669922
2017-06-26,20132.810547,20196.380859,20119.039063,20153.349609,77000000.0,20132.810547,20266.589844,19946.509766,20033.429688,518200000.0,20033.429688
2017-06-27,20229.119141,20250.099609,20185.189453,20225.089844,90300000.0,20132.810547,20266.589844,19946.509766,20033.429688,518200000.0,20033.429688
2017-06-28,20149.199219,20224.300781,20110.490234,20130.410156,115500000.0,20132.810547,20266.589844,19946.509766,20033.429688,518200000.0,20033.429688
2017-06-29,20260.869141,20266.589844,20197.380859,20220.300781,118800000.0,20132.810547,20266.589844,19946.509766,20033.429688,518200000.0,20033.429688
2017-06-30,20025.630859,20044.009766,19946.509766,20033.429688,116600000.0,20132.810547,20266.589844,19946.509766,20033.429688,518200000.0,20033.429688
2017-07-03,20056.320313,20096.140625,20030.609375,20055.800781,83400000.0,20056.320313,20197.160156,19856.650391,19929.089844,462900000.0,19929.089844
2017-07-04,20192.269531,20197.160156,19971.529297,20032.349609,100300000.0,20056.320313,20197.160156,19856.650391,19929.089844,462900000.0,19929.089844
2017-07-05,20015.070313,20087.009766,19888.900391,20081.630859,94600000.0,20056.320313,20197.160156,19856.650391,19929.089844,462900000.0,19929.089844
2017-07-06,20061.679688,20078.880859,19947.630859,19994.060547,92700000.0,20056.320313,20197.160156,19856.650391,19929.089844,462900000.0,19929.089844
2017-07-07,19856.650391,19979.929688,19856.650391,19929.089844,91900000.0,20056.320313,20197.160156,19856.650391,19929.089844,462900000.0,19929.089844
2017-07-10,20070.439453,20127.759766,20023.029297,20080.980469,85700000.0,20070.439453,20200.880859,20023.029297,20118.859375,418000000.0,20118.859375
2017-07-11,20073.859375,20200.880859,20070.669922,20195.480469,77300000.0,20070.439453,20200.880859,20023.029297,20118.859375,418000000.0,20118.859375
2017-07-12,20137.220703,20153.039063,20061.160156,20098.380859,81400000.0,20070.439453,20200.880859,20023.029297,20118.859375,418000000.0,20118.859375
2017-07-13,20177.279297,20183.800781,20062.269531,20099.810547,90500000.0,20070.439453,20200.880859,20023.029297,20118.859375,418000000.0,20118.859375
2017-07-14,20157.919922,20163.669922,20101.710938,20118.859375,83100000.0,20070.439453,20200.880859,20023.029297,20118.859375,418000000.0,20118.859375
2017-07-18,20074.410156,20081.289063,19943.140625,19999.910156,93400000.0,20074.410156,20157.109375,19943.140625,20099.75,334100000.0,20099.75
2017-07-19,19970.779297,20032.460938,19947.259766,20020.859375,81200000.0,20074.410156,20157.109375,19943.140625,20099.75,334100000.0,20099.75
2017-07-20,20046.900391,20157.109375,20032.230469,20144.589844,80800000.0,20074.410156,20157.109375,19943.140625,20099.75,334100000.0,20099.75
2017-07-21,20089.859375,20135.330078,20081.910156,20099.75,78700000.0,20074.410156,20157.109375,19943.140625,20099.75,334100000.0,20099.75
2017-07-24,19973.669922,20002.539063,19901.880859,19975.669922,81300000.0,19973.669922,20176.390625,19901.880859,19959.839844,435300000.0,19959.839844
2017-07-25,19979.560547,20036.310547,19941.609375,19955.199219,70100000.0,19973.669922,20176.390625,19901.880859,19959.839844,435300000.0,19959.839844
2017-07-26,20098.140625,20116.0,20016.580078,20050.160156,85500000.0,19973.669922,20176.390625,19901.880859,19959.839844,435300000.0,19959.839844
2017-07-27,20026.580078,20176.390625,20005.199219,20079.640625,89900000.0,19973.669922,20176.390625,19901.880859,19959.839844,435300000.0,19959.839844
